length,p_a,SpinGlass,Magnetization
1.0,$0$,-288.0,1.0
7.0,$0$,-236.0,0.11904761904761904
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
6.0,$0$,-228.0,0.02777777777777778
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
7.0,$0$,-236.0,0.11904761904761905
1.0,$0$,-288.0,1.0
7.0,$0$,-236.0,0.11904761904761904
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
6.0,$0$,-236.0,0.1111111111111111
1.0,$0$,-288.0,1.0
6.0,$0$,-232.0,0.16666666666666666
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
6.0,$0$,-232.0,0.11111111111111112
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-240.0,0.16666666666666666
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
6.0,$0$,-232.0,0.11111111111111112
6.0,$0$,-232.0,0.05555555555555556
1.0,$0$,-288.0,1.0
24.0,$0$,-232.0,0.09722222222222221
1.0,$0$,-288.0,1.0
6.0,$0$,-236.0,0.02777777777777778
1.0,$0$,-240.0,0.5
1.0,$0$,-288.0,1.0
6.0,$0$,-236.0,0.38888888888888884
1.0,$0$,-240.0,0.3333333333333333
1.0,$0$,-288.0,1.0
35.0,$0$,-232.0,0.3476190476190476
6.0,$0$,-236.0,0.08333333333333333
1.0,$0$,-288.0,1.0
1.0,$0$,-240.0,0.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
6.0,$0$,-236.0,0.027777777777777776
6.0,$0$,-236.0,0.05555555555555555
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
7.0,$0$,-236.0,0.07142857142857142
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
42.0,$0$,-228.0,0.38095238095238093
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
7.0,$0$,-236.0,0.19047619047619047
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
35.0,$0$,-232.0,0.10476190476190476
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
6.0,$0$,-232.0,0.3055555555555556
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
42.0,$0$,-232.0,0.18253968253968253
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
6.0,$0$,-232.0,0.08333333333333333
35.0,$0$,-232.0,0.17619047619047618
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
7.0,$0$,-228.0,0.19047619047619047
56.0,$0$,-232.0,0.05357142857142858
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-240.0,0.16666666666666666
7.0,$0$,-232.0,0.09523809523809523
1.0,$0$,-240.0,0.16666666666666666
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
8.0,$0$,-236.0,0.1875
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
7.0,$0$,-232.0,0.2619047619047619
1.0,$0$,-288.0,1.0
1.0,$0$,-288.0,1.0
